Types,Subtype,FTA Type,Category,Class,Type,ESL Category,Subtype,
Electrification / Power Distribution,AC Power Lighting (Rail),,Equipment,Capital Equipment,Facility Equipment,,AC Power Lighting (Rail),TRUE
Electrification / Power Distribution,Power Distribution Substation (Rail),,Equipment,Capital Equipment,Facility Equipment,,Power Distribution Substation (Rail),TRUE
Electrification / Power Distribution,Vehicle Locator System (Rail),,Equipment,Capital Equipment,IT Equipment,,Vehicle Locator System (Rail),TRUE
Electrification / Power Distribution,Miscellaneous (Rail),,Equipment,Capital Equipment,Miscellaneous,,Miscellaneous (Rail),TRUE
Support Facilities,,Administrative Office / Sales Office,Facilities,Administration,Administrative Office/Sales Office,Facilities,,TRUE
Support Facilities,,Combined Administrative and Maintenance Facility,Facilities,Administration,Combined Administrative and Maintenance Facility,Facilities,,TRUE
Support Facilities,,Revenue Collection Facility,Facilities,Administration,Revenue Collection Facility,Facilities,,TRUE
Support Facilities,,General Purpose Maintenance Facility/Depot,Facilities,Maintenance,General Purpose Maintenance Facility/Depot,Facilities,,TRUE
Support Facilities,,Heavy Maintenance and Overhaul (Backshop),Facilities,Maintenance,Heavy Maintenance and Overhaul (Backshop),Facilities,,TRUE
Support Facilities,,Maintenance Facility (Service and Inspection),Facilities,Maintenance,Maintenance Facility (Service and Inspection),Facilities,,TRUE
Support Facilities,,Vehicle Blow-Down Facility,Facilities,Maintenance,Vehicle Blow-Down Facility,Facilities,,TRUE
Support Facilities,,Vehicle Fueling Facility,Facilities,Maintenance,Vehicle Fueling Facility,Facilities,,TRUE
Support Facilities,,Vehicle Testing Facility,Facilities,Maintenance,Vehicle Testing Facility,Facilities,,TRUE
Support Facilities,,Vehicle Washing Facility,Facilities,Maintenance,Vehicle Washing Facility,Facilities,,TRUE
Support Facilities,Administration Building,"Other, Administrative & Maintenance",Facilities,Administration,"Other, Administrative & Maintenance",Facilities,Administration Building,TRUE
Support Facilities,Bus Maintenance Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Bus Maintenance Facility,TRUE
Support Facilities,Bus Parking Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Bus Parking Facility,TRUE
Support Facilities,Bus Turnaround Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Bus Turnaround Facility,TRUE
Support Facilities,Storage Yard,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Storage Yard,TRUE
